EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
0,Unknown species,02/06/2008,,Species unknown,NA
10,Struthio camelus,02/06/2008,,Struthio camelus,1
20,Gavia stellata,02/06/2008,,Gavia stellata,7282
21,Gavia stellata stellata,14/11/2023,Obsolete code. Monotypic species in the current classification.,Gavia stellata stellata,NA
22,Gavia stellata squamata,14/11/2023,Obsolete code. Subspecies no longer recognized.,Gavia stellata squamata,NA
30,Gavia arctica,02/06/2008,,Gavia arctica,7283
31,Gavia arctica arctica,20/07/2009,,Gavia arctica arctica,7284
32,Gavia arctica viridigularis,20/07/2009,,Gavia arctica viridigularis,7285
33,Gavia pacifica,14/11/2023,,Gavia arctica pacifica,7286
40,Gavia immer,02/06/2008,,Gavia immer,7288
50,Gavia adamsii,02/06/2008,,Gavia adamsii,7289
59,Gavia sp.,02/06/2008,,Gavia sp.,NA
60,Podilymbus podiceps,02/06/2008,,Podilymbus podiceps,6214
70,Tachybaptus ruficollis,02/06/2008,,Tachybaptus ruficollis,6187
80,Tachybaptus dominicus,02/06/2008,,Tachybaptus dominicus,6208
90,Podiceps cristatus,02/06/2008,,Podiceps cristatus,6232
100,Podiceps grisegena,02/06/2008,,Podiceps grisegena,6229
110,Podiceps auritus,02/06/2008,,Podiceps auritus,6236
120,Podiceps nigricollis,02/06/2008,,Podiceps nigricollis,6239
129,Podicipedidae sp.,14/11/2023,extent of code may have changed over time,Podiceps sp.,NA
130,Aechmophorus occidentalis,14/11/2023,excludes Aechmophorus clarkii,Aechmophorus occidentalis,6252
140,Thalassarche melanophris,02/06/2008,,Diomedea melanophris,7376
150,Thalassarche chlororhynchos/carteri,02/06/2008,,Diomedea chlororhynchos,NA
151,Thalassarche chlororhynchos,14/11/2023,Atlantic Yellow-nosed Albatross; excludes Thalassarche carteri,Thalassarche chlororhynchos,7389
152,Thalassarche carteri,17/01/2019,Indian Yellow-nosed Albatross ex D. chlororhynchos bassi,Thalassarche carteri,7391
160,Thalassarche cauta,02/06/2008,,Diomedea cauta,7380
170,Phoebastria nigripes,02/06/2008,,Diomedea nigripes,7357
180,Phoebastria immutabilis,02/06/2008,,Diomedea immutabilis,7356
190,Phoebastria albatrus,02/06/2008,,Diomedea albatrus,7359
200,Diomedea exulans sensu lato,14/11/2023,includes Diomedea dabbenena,Diomedea exulans,NA
201,Diomedea exulans,14/11/2023,excludes Diomedea dabbenena,,7360
210,Macronectes sp.,17/01/2019,Includes both Northern and Southern species,Macronectes giganteus,NA
211,Macronectes giganteus,17/01/2019,Southern Giant Petrel,Macronectes giganteus s.s.,7426
212,Macronectes halli,17/01/2019,Northern Giant Petrel formerly M. giganteus halli problem 20110,Macronectes halli,7427
220,Fulmarus glacialis,02/06/2008,,Fulmarus glacialis,7428
221,Fulmarus glacialis glacialis,02/06/2008,,Fulmarus glacialis glacialis,7429
230,Daption capense,02/06/2008,,Daption capense,7435
240,Pterodroma arminjoniana,02/06/2008,,Pterodroma arminjoniana,7493
250,Pterodroma neglecta,02/06/2008,,Pterodroma neglecta,7488
260,Pterodroma mollis sensu lato,14/11/2023,"Soft-plumaged Petrel species; includes Pterdoroma madeira, Pt. feae and Pt. Deserta",Pterodroma mollis/feae/madeira,NA
261,Pterodroma mollis,30/01/2012,Soft-plumaged petrel. Formerly P.m. mollis,Pterodroma mollis,7470
262,Pterodroma feae sensu lato,14/11/2023,Fea's Petrel. Formerly P. m. feae; includes Pterodroma deserta,Pterodroma feae,NA
263,Pterodroma madeira,30/01/2012,Zino's Petrel. Formerly P. m. madeira,Pterodroma madeira,7473
264,Pterodroma feae,14/11/2023,excludes Pterodroma deserta and Pt. madeira,,7475
270,Pterodroma inexpectata,02/06/2008,,Pterodroma inexpectata,7502
280,Pterodroma solandri,02/06/2008,,Pterodroma solandri,7467
290,Pterodroma hasitata,02/06/2008,,Pterodroma hasitata,7480
300,Pterodroma hypoleuca,02/06/2008,,Pterodroma hypoleuca,7507
310,Pterodroma cookii,02/06/2008,,Pterodroma cookii,7514
320,Pterodroma longirostris,02/06/2008,,Pterodroma longirostris,7516
330,Pterodroma leucoptera,02/06/2008,,Pterodroma leucoptera,7508
340,Bulweria bulwerii,02/06/2008,,Bulweria bulwerii,7615
350,Bulweria fallax,02/06/2008,,Bulweria fallax,7617
360,Calonectris diomedea sensu lato,14/11/2023,"includes Calonectris diomedea, C. borealis",Calonectris diomedea,7538
361,Calonectris borealis,14/11/2023,,Calonectris diomedea borealis,7540
362,Calonectris edwardsii,19/03/2012,Cape Verde Shearwater,Calonectris edwardsii,7542
363,Calonectris diomedea,,excludes Calonectris borealis,,7538
370,Calonectris leucomelas,02/06/2008,,Calonectris leucomelas,7537
380,Ardenna carneipes,02/06/2008,,Puffinus carneipes,7551
390,Ardenna creatopus,02/06/2008,,Puffinus creatopus,7550
400,Ardenna gravis,02/06/2008,,Puffinus gravis,7552
410,Ardenna pacifica,02/06/2008,,Puffinus pacificus,7544
420,Ardenna bulleri,02/06/2008,,Puffinus bulleri,7547
430,Ardenna grisea,02/06/2008,,Puffinus griseus,7548
440,Ardenna tenuirostris,02/06/2008,,Puffinus tenuirostris,7549
450,Puffinus nativitatis,02/06/2008,,Puffinus nativitatis,7553
460,Puffinus puffinus sensu lato,14/11/2023,includes P. yelkouan and P. mauretanicus,Puffinus puffinus,7554
461,Puffinus puffinus,14/11/2023,"includes the newly described subspecies canariensis, but excludes P. yelkouan an P. mauretanicus",Puffinus puffinus puffinus,7555
462,Puffinus yelkouan,02/06/2008,,Puffinus puffinus yelkouan,7557
463,Puffinus mauretanicus,02/06/2008,,Puffinus puffinus mauretanicus,7559
470,Puffinus auricularis,02/06/2008,,Puffinus auricularis,7564
480,Puffinus assimilis sensu lato,14/11/2023,"includes Puffinus baroli, P. boydi and P. bannermani",Puffinus assimilis,7591
481,Puffinus assimilis,14/11/2023,"excludes Puffinus baroli, P. boydi and P. bannermani",Puffinus assimilis assimilis,7592
482,Puffinus baroli,02/06/2008,,Puffinus assimilis baroli,7598
483,Puffinus boydi,14/11/2023,,Puffinus assimilis boydi,7600
484,Puffinus persicus,02/06/2008,,Puffinus assimilis persicus,7575
485,Puffinus bannermani,02/06/2008,,Puffinus assimilis bannermani,7587
490,Puffinus lherminieri,14/11/2023,excludes Puffinus boydi,Puffinus lherminieri,7572
491,Puffinus bailloni,07/07/2014,Tropical shearwater,Puffinus bailloni,7578
499,Puffinus/Ardenna,14/11/2023,Not monophyletic and thus of low taxonomic meaning. The use of this code is not recommended.,Puffinus sp.,NA
500,Oceanites oceanicus,02/06/2008,,Oceanites oceanicus,7328
510,Pelagodroma marina,02/06/2008,,Pelagodroma marina,7337
520,Hydrobates pelagicus,02/06/2008,,Hydrobates pelagicus,7396
521,Hydrobates pelagicus pelagicus,02/06/2008,,Hydrobates pelagicus pelagicus,7397
522,Hydrobates pelagicus melitensis,02/06/2008,,Hydrobates pelagicus melitensis,7398
530,Hydrobates microsoma,14/11/2023,,Halocyptena microsoma,7425
540,Hydrobates furcatus,14/11/2023,,Oceanodroma furcata,7399
550,Hydrobates leucorhous,30/07/2021,,Oceanodroma leucorhoa,7405
560,Hydrobates monorhis,30/07/2021,,Oceanodroma monorhis,7403
570,Hydrobates homochroa,14/11/2023,,Oceanodroma homochroa,7413
580,Hydrobates castro sensu lato,14/11/2023,includes Hydrobates monteiroi,Oceanodroma castro,NA
581,Hydrobates monteiroi,14/11/2023,Monteiro's Storm Petrel,Oceanodroma monteiroi,7415
582,Hydrobates castro,14/11/2023,excludes Hydrobates monteiroi,,7414
590,Hydrobates tethys,14/11/2023,,Oceanodroma tethys,7418
600,Hydrobates melania,14/11/2023,,Oceanodroma melania,7421
610,Hydrobates matsudairae,14/11/2023,,Oceanodroma matsudairae,7404
620,Hydrobates macrodactylus,14/11/2023,,Oceanodroma macrodactyla,7422
630,Hydrobates tristrami,14/11/2023,,Oceanodroma tristrami,7424
639,Hydrobates sp.,14/11/2023,extent of code may have changed over time,Oceanodroma sp.,NA
640,Phaethon aethereus,02/06/2008,,Phaethon aethereus,7266
650,Phaethon rubricauda,02/06/2008,,Phaethon rubricauda,7270
660,Phaethon lepturus,02/06/2008,,Phaethon lepturus,7275
670,Sula sula,02/06/2008,,Sula sula,7680
680,Sula dactylatra,02/06/2008,,Sula dactylatra,7673
690,Sula nebouxii,02/06/2008,,Sula nebouxii,7669
700,Sula leucogaster,02/06/2008,,Sula leucogaster,7684
710,Morus bassanus,02/06/2008,,Sula bassana,7665
712,Morus capensis,02/06/2008,,Sula bassana capensis,7666
720,Phalacrocorax carbo,02/06/2008,,Phalacrocorax carbo,7736
721,Phalacrocorax carbo carbo,02/06/2008,,Phalacrocorax carbo carbo,7737
722,Phalacrocorax carbo sinensis,02/06/2008,,Phalacrocorax carbo sinensis,7738
730,Phalacrocorax capillatus,02/06/2008,,Phalacrocorax capillatus,7733
740,Phalacrocorax perspicillatus,14/11/2023,extinct,Phalacrocorax perspicillatus,7718
750,Urile pelagicus,14/11/2023,,Phalacrocorax pelagicus,7715
760,Urile urile,14/11/2023,,Phalacrocorax urile,7714
770,Urile penicillatus,14/11/2023,,Phalacrocorax penicillatus,7713
780,Nannopterum auritum,30/07/2021,,Phalacrocorax auritus,7750
790,Nannopterum brasilianum,14/11/2023,,Phalacrocorax olivaceus,7747
800,Gulosus aristotelis,30/07/2021,,Phalacrocorax aristotelis,7742
801,Gulosus aristotelis aristotelis,30/07/2021,,Phalacrocorax aristotelis aristotelis,7743
802,Gulosus aristotelis desmarestii,30/07/2021,,Phalacrocorax aristotelis desmarestii,7745
810,Phalacrocorax nigrogularis,02/06/2008,,Phalacrocorax nigrogularis,7720
820,Microcarbo pygmaeus,02/06/2008,,Phalacrocorax pygmeus,7701
830,Microcarbo africanus,02/06/2008,,Phalacrocorax africanus,7702
840,Microcarbo niger,02/06/2008,,Phalacrocorax niger,7707
849,Phalacrocoracidae sp.,02/06/2008,,Phalacrocorax sp.,NA
850,Anhinga anhinga,02/06/2008,,Anhinga anhinga,7698
860,Anhinga melanogaster,02/06/2008,,Anhinga melanogaster,7689
870,Pelecanus erythrorhynchos,02/06/2008,,Pelecanus erythrorhynchos,8075
880,Pelecanus onocrotalus,02/06/2008,,Pelecanus onocrotalus,8068
890,Pelecanus crispus,02/06/2008,,Pelecanus crispus,8072
900,Pelecanus rufescens,02/06/2008,,Pelecanus rufescens,8069
910,Pelecanus occidentalis,02/06/2008,,Pelecanus occidentalis,8076
919,Pelecanidae sp.,02/06/2008,,Pelecanus sp.,NA
920,Fregata minor,02/06/2008,,Fregata minor,7655
930,Fregata magnificens,02/06/2008,,Fregata magnificens,7651
940,Fregata ariel,02/06/2008,,Fregata ariel,7661
950,Botaurus stellaris,02/06/2008,,Botaurus stellaris,7874
960,Botaurus lentiginosus,02/06/2008,,Botaurus lentiginosus,7878
970,Ixobrychus exilis,02/06/2008,,Ixobrychus exilis,7883
980,Ixobrychus minutus,02/06/2008,,Ixobrychus minutus,7890
990,Ixobrychus sinensis,02/06/2008,,Ixobrychus sinensis,7898
1000,Ixobrychus eurhythmus,02/06/2008,,Ixobrychus eurhythmus,7899
1010,Ixobrychus cinnamomeus,02/06/2008,,Ixobrychus cinnamomeus,7900
1020,Ixobrychus sturmii,02/06/2008,,Ardeirallus sturmii,7901
1030,Gorsachius goisagi,02/06/2008,,Gorsachius goisagi,7907
1040,Nycticorax nycticorax,02/06/2008,,Nycticorax nycticorax,7914
1050,Nycticorax caledonicus,02/06/2008,,Nycticorax caledonicus,7923
1060,Nyctanassa violacea,02/06/2008,,Nycticorax violaceus,7930
1070,Butorides virescens,14/11/2023,excludes Butorides striata and sundevalli,Butorides striatus,7938
1080,Ardeola ralloides,02/06/2008,,Ardeola ralloides,7974
1090,Ardeola grayii,02/06/2008,,Ardeola grayii,7977
1100,Ardeola bacchus,02/06/2008,,Ardeola bacchus,7978
1110,Bubulcus ibis,02/06/2008,,Bubulcus ibis,7984
1120,Egretta caerulea,02/06/2008,,Hydranassa caerulea,8047
1130,Egretta tricolor,02/06/2008,,Hydranassa tricolor,8042
1140,Egretta rufescens,02/06/2008,,Hydranassa rufescens,8037
1150,Egretta thula,02/06/2008,,Egretta thula,8048
1160,Egretta eulophotes,02/06/2008,,Egretta eulophotes,8063
1170,Egretta sacra,02/06/2008,,Egretta sacra,8060
1180,Egretta gularis,02/06/2008,,Egretta gularis,8055
1181,Egretta gularis gularis,02/06/2008,,Egretta gularis gularis,8056
1182,Egretta gularis schistacea,02/06/2008,,Egretta gularis schistacea,8057
1190,Egretta garzetta,02/06/2008,,Egretta garzetta,8051
1200,Ardea intermedia,02/06/2008,,Egretta intermedia,8023
1210,Ardea alba,02/06/2008,,Egretta alba,8015
1219,Egretta sp.,14/11/2023,extent of code may have changed over time (included Ardea alba and A. intermedia in the past),Egretta sp.,NA
1220,Ardea cinerea,02/06/2008,,Ardea cinerea,7989
1230,Ardea herodias,02/06/2008,,Ardea herodias,7994
1240,Ardea purpurea,02/06/2008,,Ardea purpurea,8010
1250,Ardea goliath,02/06/2008,,Ardea goliath,8009
1259,Ardea sp.,14/11/2023,extent of code may have changed over time (excluded Ardea alba and A. intermedia in the past),Ardea sp.,NA
1260,Scopus umbretta,02/06/2008,,Scopus umbretta,8064
1270,Mycteria americana,02/06/2008,,Mycteria americana,7625
1280,Mycteria leucocephala,02/06/2008,,Mycteria leucocephala,7627
1290,Mycteria ibis,02/06/2008,,Mycteria ibis,7626
1300,Anastomus oscitans,02/06/2008,,Anastomus oscitans,7621
1310,Ciconia nigra,02/06/2008,,Ciconia nigra,7640
1320,Ciconia abdimii,02/06/2008,,Ciconia abdimii,7634
1330,Ciconia episcopus,02/06/2008,,Ciconia episcopus,7635
1340,Ciconia ciconia,02/06/2008,,Ciconia ciconia,7644
1349,Ciconia sp.,02/06/2008,,Ciconia sp.,NA
1350,Leptoptilos crumenifer,02/06/2008,,Leptoptilos crumeniferus,7622
1360,Plegadis falcinellus,02/06/2008,,Plegadis falcinellus,7840
1370,Plegadis chihi,02/06/2008,,Plegadis chihi,7841
1380,Eudocimus albus,02/06/2008,,Eudocimus albus,7836
1390,Eudocimus ruber,02/06/2008,,Eudocimus ruber,7839
1400,Geronticus eremita,02/06/2008,,Geronticus eremita,7806
1410,Nipponia nippon,02/06/2008,,Nipponia nippon,7808
1420,Threskiornis aethiopicus,02/06/2008,,Threskiornis aethiopicus,7788
1430,Threskiornis melanocephalus,02/06/2008,,Threskiornis melanocephalus,7794
1440,Platalea leucorodia,02/06/2008,,Platalea leucorodia,7846
1450,Platalea minor,02/06/2008,,Platalea minor,7850
1460,Platalea ajaja,02/06/2008,,Platalea ajaja,7855
1470,Phoenicopterus ruber sensu lato,14/11/2023,includes Phoenicopterus roseus,Phoenicopterus ruber,6260
1471,Phoenicopterus ruber,14/11/2023,excludes Phoenicopterus roseus,Phoenicopterus ruber ruber,6260
1472,Phoenicopterus roseus,02/06/2008,,Phoenicopterus ruber roseus,6258
1480,Phoeniconaias minor,02/06/2008,,Phoenicopterus minor,6263
1490,Dendrocygna bicolor,02/06/2008,,Dendrocygna bicolor,230
1500,Dendrocygna arborea,02/06/2008,,Dendrocygna arborea,229
1510,Dendrocygna autumnalis,02/06/2008,,Dendrocygna autumnalis,225
1520,Cygnus olor,02/06/2008,,Cygnus olor,296
1530,Cygnus columbianus,02/06/2008,,Cygnus columbianus,298
1531,Cygnus columbianus columbianus,02/06/2008,,Cygnus columbianus columbianus,299
1532,Cygnus columbianus bewickii,02/06/2008,,Cygnus columbianus bewickii,301
1540,Cygnus cygnus,02/06/2008,,Cygnus cygnus,302
1550,Cygnus buccinator,02/06/2008,,Cygnus buccinator,297
1559,Cygnus sp.,02/06/2008,,Cygnus sp.,NA
1560,Anser cygnoides,02/06/2008,,Anser cygnoides,274
1569,Anserinae sp.,07/07/2014,Goose species,Anser spp / Branta spp.,NA
1570,Anser fabalis/serrirostris,02/06/2008,,Anser fabalis,NA
1571,Anser fabalis,02/06/2008,,Anser fabalis fabalis,275
1572,Anser fabalis jonanseni,02/06/2008,,Anser fabalis jonanseni,NA
1573,Obsolete code,02/06/2008,Subspecies not accepted ? use 01570,Anser fabalis neglecticus,NA
1574,Anser serrirostris,02/06/2008,,Anser fabalis rossicus,282
1575,Anser fabalis fabalis,27/02/2022,,,276
1580,Anser brachyrhynchus,02/06/2008,,Anser brachyrhynchus,280
1590,Anser albifrons,02/06/2008,,Anser albifrons,285
1591,Anser albifrons albifrons,02/06/2008,,Anser albifrons albifrons,287
1592,Anser albifrons flavirostris,02/06/2008,,Anser albifrons flavirostris,286
1600,Anser erythropus,02/06/2008,,Anser erythropus,292
1610,Anser anser,02/06/2008,,Anser anser,271
1611,Anser anser anser,09/11/2009,,Anser anser anser,272
1612,Anser anser rubrirostris,09/11/2009,,Anser anser rubrirostris,273
1613,Anser anser domestica,09/11/2009,,Anser anser domestica,NA
1620,Anser indicus,02/06/2008,,Anser indicus,265
1630,Anser caerulescens,02/06/2008,,Anser caerulescens,268
1631,Anser caerulescens caerulescens,02/06/2008,,Anser caerulescens caerulescens,269
1632,Anser caerulescens atlanticus,02/06/2008,,Anser caerulescens atlanticus,270
1640,Anser rossii,02/06/2008,,Anser rossii,267
1650,Anser canagicus,02/06/2008,,Anser canagicus,266
1659,Anser sp.,02/06/2008,,Anser spp.,NA
1660,Branta canadensis,02/06/2008,,Branta canadensis,250
1661,Branta canadensis canadensis,02/06/2008,,Branta canadensis canadensis,257
1662,Branta canadensis occidentalis,02/06/2008,,Branta canadensis occidentalis,251
1663,Branta canadensis parvipes,02/06/2008,,Branta canadensis parvipes,254
1664,Branta hutchinsii,02/06/2008,,Branta canadensis hutchinsii,259
1665,Branta hutchinsii leucopareia,02/06/2008,,Branta canadensis asiatica,260
1670,Branta leucopsis,02/06/2008,,Branta leucopsis,258
1680,Branta bernicla,02/06/2008,,Branta bernicla,243
1681,Branta bernicla bernicla,02/06/2008,,Branta bernicla bernicla,246
1682,Branta bernicla hrota,02/06/2008,,Branta bernicla hrota,247
1683,Branta bernicla nigricans,02/06/2008,,Branta bernicla nigricans,244
1690,Branta ruficollis,02/06/2008,,Branta ruficollis,248
1699,Branta sp.,02/06/2008,,Branta sp.,NA
1700,Alopochen aegyptiaca,02/06/2008,,Alopochen aegyptiacus,326
1710,Tadorna ferruginea,02/06/2008,,Tadorna ferruginea,343
1720,Tadorna cristata,02/06/2008,,Tadorna cristata,347
1730,Tadorna tadorna,02/06/2008,,Tadorna tadorna,342
1740,Plectropterus gambensis,02/06/2008,,Plectropterus gambensis,318
1750,Cairina moschata,02/06/2008,,Cairina moschata,350
1760,Nettapus coromandelianus,02/06/2008,,Nettapus coromandelianus,358
1770,Aix sponsa,02/06/2008,,Aix sponsa,353
1780,Aix galericulata,02/06/2008,,Aix galericulata,354
1790,Mareca penelope,02/06/2008,,Anas penelope,395
1800,Mareca americana,02/06/2008,,Anas americana,397
1810,Mareca falcata,02/06/2008,,Anas falcata,394
1820,Mareca strepera,02/06/2008,,Anas strepera,391
1830,Sibirionetta formosa,02/06/2008,,Anas formosa,370
1840,Anas crecca,02/06/2008,,Anas crecca,444
1841,Anas crecca crecca,02/06/2008,,Anas crecca crecca,NA
1842,Anas carolinensis,02/06/2008,,Anas crecca carolinensis,447
1843,Anas crecca nimia,02/06/2008,,Anas crecca nimia,NA
1850,Anas capensis,02/06/2008,,Anas capensis,429
1860,Anas platyrhynchos,02/06/2008,,Anas platyrhynchos,420
1861,Anas platyrhynchos platyrhynchos,09/11/2009,,Anas platyrhynchos platyrhynchos,421
1862,Anas platyrhynchos conboschas,09/11/2009,,Anas platyrhynchos conboschas,422
1863,Anas platyrhynchos domestica,09/11/2009,,Anas platyrhynchos domestica,NA
1870,Anas rubripes,02/06/2008,,Anas rubripes,426
1880,Anas poecilorhyncha,02/06/2008,,Anas poecilorhyncha,415
1890,Anas acuta,02/06/2008,,Anas acuta,442
1900,Anas bahamensis,02/06/2008,,Anas bahamensis,430
1910,Spatula querquedula,02/06/2008,,Anas querquedula,371
1920,Spatula discors,02/06/2008,,Anas discors,385
1930,Spatula cyanoptera,02/06/2008,,Anas cyanoptera,379
1940,Spatula clypeata,02/06/2008,,Anas clypeata,390
1949,Anas sp.,02/06/2008,,Anas sp.,NA
1950,Marmaronetta angustirostris,02/06/2008,,Marmaronetta angustirostris,474
1960,Netta rufina,02/06/2008,,Netta rufina,476
1970,Aythya valisineria,02/06/2008,,Aythya valisineria,481
1980,Aythya ferina,02/06/2008,,Aythya ferina,483
1990,Aythya americana,02/06/2008,,Aythya americana,482
2000,Aythya collaris,02/06/2008,,Aythya collaris,491
2010,Aythya baeri,02/06/2008,,Aythya baeri,488
2020,Aythya nyroca,02/06/2008,,Aythya nyroca,489
2030,Aythya fuligula,02/06/2008,,Aythya fuligula,492
2040,Aythya marila,02/06/2008,,Aythya marila,493
2050,Aythya affinis,02/06/2008,,Aythya affinis,496
2059,Aythya sp.,02/06/2008,,Aythya sp.,NA
2060,Somateria mollissima,02/06/2008,,Somateria mollissima,501
2061,Somateria mollissima mollissima,02/06/2008,,Somateria mollissima mollissima,507
2062,Somateria mollissima faeroeensis,02/06/2008,,Somateria mollissima faeroeensis,506
2063,Somateria mollissima borealis,02/06/2008,,Somateria mollissima borealis,503
2064,Somateria mollissima nigrum,02/06/2008,,Somateria mollissima nigrum,NA
2070,Somateria spectabilis,02/06/2008,,Somateria spectabilis,500
2080,Somateria fischeri,02/06/2008,,Somateria fischeri,499
2089,Somateria sp.,02/06/2008,,Somateria sp.,NA
2090,Polysticta stelleri,02/06/2008,,Polysticta stelleri,497
2100,Camptorhynchus labradorius,02/06/2008,,Camptorhynchus labradorius,498
2110,Histrionicus histrionicus,02/06/2008,,Histrionicus histrionicus,508
2120,Clangula hyemalis,02/06/2008,,Clangula hyemalis,520
2130,Melanitta nigra,02/06/2008,,Melanitta nigra,516
2131,Melanitta nigra nigra,02/06/2008,,Melanitta nigra nigra,NA
2132,Melanitta americana,02/06/2008,,Melanitta nigra americana,518
2140,Melanitta perspicillata,02/06/2008,,Melanitta perspicillata,509
2150,Melanitta fusca,02/06/2008,,Melanitta fusca,510
2151,Obsolete code,02/06/2008,Duplicated species ? use 02150,Melanitta fusca fusca,NA
2152,Melanitta deglandi,02/06/2008,,Melanitta fusca deglandi,512
2153,Melanitta stejnegeri,02/06/2008,,Melanitta fusca stejnegeri,514
2160,Bucephala albeola,02/06/2008,,Bucephala albeola,521
2170,Bucephala islandica,02/06/2008,,Bucephala islandica,525
2180,Bucephala clangula,02/06/2008,,Bucephala clangula,522
2190,Lophodytes cucullatus,02/06/2008,,Mergus cucullatus,527
2200,Mergellus albellus,02/06/2008,,Mergus albellus,526
2210,Mergus serrator,02/06/2008,,Mergus serrator,534
2220,Mergus squamatus,02/06/2008,,Mergus squamatus,537
2230,Mergus merganser,02/06/2008,,Mergus merganser,530
2239,Mergus sp.,02/06/2008,,Mergus sp.,NA
2240,Nomonyx dominicus,02/06/2008,,Oxyura dominica,539
2250,Oxyura jamaicensis,02/06/2008,,Oxyura jamaicensis,540
2260,Oxyura leucocephala,02/06/2008,,Oxyura leucocephala,549
2270,Cathartes aura,02/06/2008,,Cathartes aura,8092
2280,Coragyps atratus,02/06/2008,,Coragyps atratus,8088
2290,Gymnogyps californianus,02/06/2008,,Gymnogyps californianus,8085
2300,Chondrohierax uncinatus,02/06/2008,,Chondrohierax uncinatus,8145
2310,Pernis apivorus,02/06/2008,,Pernis apivorus,8151
2320,Pernis ptilorhynchus,02/06/2008,,Pernis ptilorhyncus,8152
2330,Elanoides forficatus,02/06/2008,,Elanoides forficatus,8164
2340,Elanus leucurus,02/06/2008,,Elanus leucurus,8117
2350,Elanus caeruleus,02/06/2008,,Elanus caeruleus,8110
2360,Ictinia mississippiensis,02/06/2008,,Ictinia mississippiensis,8662
2370,Rostrhamus sociabilis,02/06/2008,,Rostrhamus sociabilis,8667
2380,Milvus migrans,02/06/2008,,Milvus migrans,8624
2381,Milvus migrans migrans,04/10/2019,,Milvus migrans migrans,8625
2382,Milvus migrans aegyptius,04/10/2019,Yellow-billed Kite,Milvus migrans aegyptius,NA
2390,Milvus milvus,02/06/2008,,Milvus milvus,8621
2399,Milvus sp.,02/06/2008,,Milvus sp.,NA
2400,Haliastur indus,02/06/2008,,Haliastur indus,8635
2410,Haliaeetus vocifer,02/06/2008,,Haliaeetus vocifer,NA
2420,Haliaeetus leucoryphus,02/06/2008,,Haliaeetus leucoryphus,8643
2430,Haliaeetus albicilla,02/06/2008,,Haliaeetus albicilla,8644
2440,Haliaeetus leucocephalus,02/06/2008,,Haliaeetus leucocephalus,8647
2450,Haliaeetus pelagicus,02/06/2008,,Haliaeetus pelagicus,8640
2460,Gypaetus barbatus,02/06/2008,,Gypaetus barbatus,8131
2470,Neophron percnopterus,02/06/2008,,Neophron percnopterus,8136
2471,Neophron pecnopetorus majorensis,25/06/2021,,Neophron pecnopetorus majorensis,NA
2480,Necrosyrtes monachus,02/06/2008,,Necrosyrtes monachus,8207
2490,Gyps bengalensis,02/06/2008,,Gyps bengalensis,8211
2500,Gyps indicus,02/06/2008,,Gyps indicus,8212
2510,Gyps fulvus,02/06/2008,,Gyps fulvus,8220
2520,Gyps himalayensis,02/06/2008,,Gyps himalayensis,8219
2530,Gyps rueppelli,02/06/2008,,Gyps rueppellii,8216
2540,Torgos tracheliotos,02/06/2008,,Torgos tracheliotus,8229
2550,Aegypius monachus,02/06/2008,,Aegypius monachus,8228
2560,Circaetus gallicus,02/06/2008,,Circaetus gallicus,8268
2570,Terathopius ecaudatus,02/06/2008,,Terathopius ecaudatus,8281
2580,Spilornis cheela,02/06/2008,,Spilornis cheela,8233
2590,Geranospiza caerulescens,02/06/2008,,Geranospiza caerulescens,8673
2600,Circus aeruginosus,02/06/2008,,Circus aeruginosus,8595
2610,Circus cyaneus,02/06/2008,,Circus cyaneus,8613
2620,Circus macrourus,02/06/2008,,Circus macrourus,8618
2630,Circus pygargus,02/06/2008,,Circus pygargus,8620
2640,Circus melanoleucos,02/06/2008,,Circus melanoleucus,8619
2649,Circus sp.,02/06/2008,,Circus sp.,NA
2650,Melierax metabates,02/06/2008,,Melierax metabates,8380
2660,Micronisus gabar,02/06/2008,,Micronisus gabar,8376
2670,Accipiter gentilis,02/06/2008,,Accipiter gentilis,8582
2671,Accipiter gentilis gentilis,30/06/2021,,Accipiter gentilis gentilis,8587
2680,Accipiter virgatus,02/06/2008,,Accipiter virgatus,8512
2681,Accipiter virgatus virgatus,09/11/2009,,Accipiter virgatus virgatus,8519
2682,Accipiter gularis,09/11/2009,,Accipiter virgatus gularis,8507
2690,Accipiter nisus,02/06/2008,,Accipiter nisus,8539
2692,Accipiter nisus nisosimilis,02/06/2008,,Accipiter nisus nisosimilis,8541
2700,Accipiter striatus,02/06/2008,,Accipiter striatus,8550
2710,Accipiter soloensis,02/06/2008,,Accipiter soloensis,8438
2720,Accipiter badius,02/06/2008,,Accipiter badius,8427
2730,Accipiter brevipes,02/06/2008,,Accipiter brevipes,8437
2740,Accipiter cooperii,02/06/2008,,Accipiter cooperii,8567
2749,Accipiter sp.,02/06/2008,,Accipiter sp.,NA
2750,Butastur teesa,02/06/2008,,Butastur teesa,8659
2760,Butastur indicus,02/06/2008,,Butastur indicus,8661
2770,Buteogallus anthracinus,02/06/2008,,Buteogallus anthracinus,8682
2780,Parabuteo unicinctus,02/06/2008,,Parabuteo unicinctus,8717
2790,Buteo nitidus,02/06/2008,,Buteo nitidus,8748
2800,Buteo platypterus,02/06/2008,,Buteo platypterus,8759
2810,Buteo lineatus,02/06/2008,,Buteo lineatus,8752
2820,Buteo swainsoni,02/06/2008,,Buteo swainsonii,8772
